Time,410nm #1,440nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #1,670nm #1,900nm #1,410nm #2,440nm #2,470nm #2,510nm #2,550nm #2,583nm #2,620nm #2,670nm #2,900nm #2,External Temp,External Humidity,Integrate time #1,Integrate time #2,MFC#1,MFC#2,MFC#3,MFC#4,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-05-29 14:20:28,546,1521,2177,6121,10203,10284,23142,7963,5812,2928,20756,12156,33007,54279,43919,53983,15831,19610,30.97900390625,60.1959228515625,364.3746032714844,364.3746032714844,0.0,25.00625,25.0,19.996875,33.7890625,13.9404296875,29.99,35.99
2021-05-29 14:20:39,547,1519,2179,6127,10203,10286,23153,7959,5818,2930,20758,12158,33014,54289,43927,54001,15847,19619,30.966415405273438,60.13641357421875,364.3746032714844,364.3746032714844,0.0,25.003125,25.0,19.996875,33.7890625,12.7197265625,29.99,36.0
2021-05-29 14:20:50,547,1519,2179,6127,10210,10286,23153,7962,5816,2931,20772,12160,33015,54267,43917,54036,15840,19617,31.004180908203125,60.0860595703125,364.3746032714844,364.3746032714844,0.0,25.0,24.996875,19.99375,33.7890625,13.720703125,29.99,36.0
2021-05-29 14:21:02,547,1520,2180,6127,10210,10288,23161,7963,5818,2929,20761,12166,33018,54290,43925,54038,15847,19619,30.991592407226562,60.06011962890625,364.3746032714844,364.3746032714844,0.0,25.0,25.0,19.996875,33.8134765625,13.0859375,29.99,36.01
2021-05-29 14:21:13,546,1520,2179,6126,10211,10284,23164,7961,5816,2931,20757,12158,33015,54298,43919,54016,15839,19616,31.004180908203125,60.0860595703125,364.3746032714844,364.3746032714844,0.0,25.00625,25.0,20.0,33.7890625,12.939453125,30.0,36.01
2021-05-29 14:21:24,547,1520,2180,6126,10204,10280,23149,7961,5816,2929,20759,12164,33019,54287,43935,53992,15832,19604,30.976486206054688,60.13031005859375,364.3746032714844,364.3746032714844,0.0,25.0,25.0,20.0,33.7646484375,13.1591796875,30.0,36.01
2021-05-29 14:21:35,547,1519,2180,6129,10204,10280,23149,7957,5818,2930,20758,12166,33014,54316,43928,53853,15805,19612,31.004180908203125,60.14404296875,364.3746032714844,364.3746032714844,0.0,25.003125,24.996875,20.0,33.8134765625,12.79296875,30.0,36.01
2021-05-29 14:21:47,547,1519,2180,6127,10205,10286,23161,7960,5818,2931,20776,12159,33021,54305,43939,53850,15793,19621,30.991592407226562,60.19744873046875,364.3746032714844,364.3746032714844,0.0,25.00625,24.996875,20.003125,33.7890625,13.7939453125,30.0,36.01
2021-05-29 14:21:58,546,1522,2181,6128,10204,10290,23160,7965,5820,2931,20764,12169,33027,54305,43937,53859,15808,19615,30.9991455078125,60.19287109375,364.3746032714844,364.3746032714844,0.0,25.00625,24.996875,19.99375,33.7890625,12.939453125,30.0,36.01
2021-05-29 14:22:09,546,1519,2180,6124,10211,10288,23160,7963,5820,2930,20761,12167,33022,54299,43931,54025,15833,19622,30.991592407226562,60.21881103515625,364.3746032714844,364.3746032714844,0.0,25.003125,25.0,20.003125,33.7890625,12.939453125,30.0,36.0
2021-05-29 14:22:21,547,1520,2178,6126,10203,10288,23155,7962,5814,2929,20760,12165,33016,54300,43932,54015,15843,19616,30.984039306640625,60.2386474609375,364.3746032714844,364.3746032714844,0.0,25.00625,25.0,20.0,33.7890625,12.6708984375,30.0,35.99
2021-05-29 14:22:32,546,1519,2180,6127,10209,10282,23166,7964,5818,2929,20774,12166,33019,54291,43928,54035,15841,19621,30.976486206054688,60.27374267578125,364.3746032714844,364.3746032714844,0.0,25.0,25.0,19.99375,33.7890625,13.427734375,30.0,35.99
2021-05-29 14:22:43,546,1522,2181,6127,10205,10288,23160,7964,5818,2931,20768,12163,33020,54298,43916,54040,15853,19624,30.98907470703125,60.2752685546875,364.3746032714844,364.3746032714844,0.0,24.996875,25.0,19.996875,33.7890625,12.79296875,30.0,35.99
