Time,Astep,Atime,PWM,Gain,External Temp,External Humidity,620nm #1,670nm #1,470nm #1,510nm #1,550nm #1,583nm #1,620nm #2,670nm #2,470nm #2,510nm #2,550nm #2,583nm #2,Sub Concentration,Total Concentration,MFC#1,MFC#2,MFC#3,MFC#4,MFC#5,dewpoint #1,dewpoint #2,chamber #1,chamber #2
2021-10-15 19:56:59,-1,-1,-1,-1,0.8295440673828125,34.75799560546875,24505,5293,4685,9584,12024,18874,65535,23509,15279,41127,61461,53841,inf,100.0,0.0,24.99375,15.0,29.996875,0.0,3.7841796875,3.80859375,-0.02,6.0
2021-10-15 19:58:00,-1,-1,-1,-1,0.821990966796875,34.70458984375,24506,5293,4685,9584,12023,18872,65535,23519,15282,41135,61474,53834,inf,100.0,0.0,25.003125,14.996875,30.0,0.0,3.8330078125,3.7841796875,-0.03,5.98
2021-10-15 19:59:01,-1,-1,-1,-1,0.8245086669921875,34.73663330078125,24514,5293,4685,9587,12021,18872,65535,23514,15283,41133,61480,53847,inf,100.0,0.0,24.996875,15.0,30.003125,0.0,3.759765625,3.759765625,0.01,5.99
2021-10-15 20:00:02,-1,-1,-1,-1,0.821990966796875,34.686279296875,24510,5294,4685,9590,12022,18876,65535,23505,15281,41130,61472,53823,inf,100.0,0.0,24.996875,15.00625,30.0,0.0,3.7841796875,3.7841796875,0.04,5.99
2021-10-15 20:01:02,-1,-1,-1,-1,0.8295440673828125,34.71221923828125,24514,5293,4687,9587,12022,18880,65535,23508,15280,41126,61468,53836,inf,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,-0.01,5.99
2021-10-15 20:02:03,-1,-1,-1,-1,0.821990966796875,34.7991943359375,24515,5296,4688,9589,12024,18866,65535,23513,15276,41140,61476,53838,inf,100.0,0.0,24.99375,15.003125,29.996875,0.0,3.759765625,3.759765625,0.01,5.99
2021-10-15 20:03:03,-1,-1,-1,-1,0.8396148681640625,34.69390869140625,24507,5295,4686,9591,12023,18868,65535,23520,15285,41141,61484,53838,inf,100.0,0.0,25.0,14.996875,30.0,0.0,3.759765625,3.7841796875,0.02,5.99
2021-10-15 20:04:04,-1,-1,-1,-1,0.84716796875,34.8114013671875,24519,5296,4691,9592,12030,18884,65535,23523,15291,41155,61507,53851,inf,100.0,0.0,24.99375,15.0,30.003125,0.0,3.759765625,3.80859375,0.05,5.99
2021-10-15 20:05:05,-1,-1,-1,-1,0.8647918701171875,34.66033935546875,24521,5298,4688,9592,12026,18888,65535,23535,15282,41136,61504,53865,inf,100.0,0.0,25.0,15.0,30.003125,0.0,3.80859375,3.7841796875,0.02,6.0
2021-10-15 20:06:06,-1,-1,-1,-1,0.832061767578125,34.8358154296875,24515,5296,4686,9589,12026,18882,65535,23515,15285,41139,61494,53845,inf,100.0,0.0,24.996875,15.0,30.0,0.0,3.7841796875,3.80859375,-0.03,6.0
2021-10-15 20:07:07,-1,-1,-1,-1,0.8295440673828125,34.73663330078125,24518,5298,4686,9592,12026,18878,65535,23528,15288,41127,61463,53844,inf,100.0,0.0,25.0,15.003125,30.0,0.0,3.7841796875,3.7841796875,0.0,5.98
2021-10-15 20:08:08,-1,-1,-1,-1,0.821990966796875,34.8724365234375,24523,5296,4690,9593,12033,18884,65535,23517,15288,41130,61480,53855,inf,100.0,0.0,25.003125,14.996875,29.996875,0.0,3.7353515625,3.7841796875,0.0,5.99
2021-10-15 20:09:09,-1,-1,-1,-1,0.8396148681640625,34.71221923828125,24516,5296,4686,9593,12024,18872,65535,23527,15280,41138,61485,53849,inf,100.0,0.0,25.003125,15.003125,30.0,0.0,3.8818359375,3.80859375,0.02,6.0
2021-10-15 20:10:09,-1,-1,-1,-1,0.8270263671875,34.844970703125,24517,5297,4688,9590,12029,18876,65535,23526,15281,41144,61487,53851,inf,100.0,0.0,25.003125,15.0,30.0,0.0,3.759765625,3.7841796875,0.0,5.99
